run_id,status,num_cpus,res_width,finger_length,fingers_n,finger_width,finger_gap,geo_ind_length,geo_ind_thick,metal_width,res_height,cap_section_height,gap,freq_wKI,cap_tot,freq_woKI,L_geo,L_kin,eta_k,L_tot,Z,flux_ex,coupling_max,coupling_min,coupling_argmax_x,coupling_argmax_y,runtime_s
lhs_0_141157,success,1,0.0002303619632362,0.0002251886538539,39,3.071936033081905e-06,2.340484097995287e-06,6.678770342981281e-06,1.649276124025654e-06,7.687207010039312e-05,0.0005734952096322,0.0005568533169938,2.375967070063588e-05,8101368368.246,1.157599395408e-13,11069986265.39,1.785614927445707e-09,1.548382129468987e-09,0.4644221644580188,3.333997056914694e-09,169.7084474537404,1.1426208807766212e-09,1764.7822906639326,791.4457926752573,-3.3393851714906407e-06,-0.0005718459335082,1161.22155046463
lhs_1_c3fc32,success,1,0.0001981192080362,0.0001077736904371,84,2.506287901923824e-06,2.78031397057082e-06,2.9245361735564748e-06,3.018245891433365e-06,7.400699526133642e-05,0.0005330428815904,0.000512091529009,2.4565509747596987e-05,12445545422.76,1.0814162186799997e-13,26318058545.55,3.3817358944708776e-10,1.1740622142367059e-09,0.776375094001015,1.5122358036837935e-09,118.25331352607564,1.0064358918467446e-09,10814.21559192398,6526.952675714223,1.4622680867782374e-06,-0.000530024635699,1085.2471811771393
lhs_2_de6e9b,success,1,0.0002444032608517,0.0002084113474982,50,2.184157340456279e-06,2.5907922606845184e-06,2.664727113395752e-06,4.495011078711156e-06,4.608171812411732e-05,0.0004124508653941,0.0003959459997732,1.0076809016501036e-05,8118082478.482,6.914330297549996e-14,13095229753.32,2.136308145707652e-09,3.4225196775449032e-09,0.6156908949812254,5.558827823252555e-09,283.54144631743344,6.112302868689988e-10,167.47654582633754,116.63553940967668,-1.332363556697876e-06,-0.0004079558543154,790.0094323158264
cf5c103d,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,8e-05,0.0007,0.00065,1e-05,8027704973.572,1.8848774223570005e-13,9840761691.427,1.387713206022518e-09,6.976146482422632e-10,0.3345347575996484,2.085327854264781e-09,105.1830151297518,2.379110001894641e-09,11609.8242424512,3932.368097844969,5e-07,-0.000699,1730.3548891544342
5234e345,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,8e-05,0.0007,0.00065,2e-05,8060353986.334001,1.944621607638e-13,9701739911.267,1.3839037967711291e-09,6.21015639032053e-10,0.3097459319023815,2.004919435803183e-09,101.53853881449214,2.3791100018946275e-09,11676.362187344212,3954.905191114369,5e-07,-0.000699,1452.023892879486
lhs_0_bdafc9,success,1,0.0002303619632362,0.0002251886538539,39,3.071936033081905e-06,2.340484097995287e-06,6.678770342981281e-06,1.649276124025654e-06,7.687207010039312e-05,0.0005734952096322,0.0005568533169938,2.6834622760084784e-05,8094905618.607999,1.1673811066899998e-13,11025765645.19,1.784884378526643e-09,1.5264575175779323e-09,0.4609785293912536,3.3113418961045753e-09,168.4207829123592,1.1426208807766456e-09,1774.3311735387906,795.7281470574583,-3.3393851714906407e-06,-0.0005718459335082,1383.0561172962189
lhs_1_1898e5,success,1,0.0001981192080362,0.0001077736904371,84,2.506287901923824e-06,2.78031397057082e-06,2.9245361735564748e-06,3.018245891433365e-06,7.400699526133642e-05,0.0005330428815904,0.000512091529009,2.6942067966346263e-05,12485526378.12,1.0855419815800005e-13,26146095741.58,3.4133431052565805e-10,1.155521358510616e-09,0.7719657829499216,1.4968556690362743e-09,117.42664460757526,1.006435891846736e-09,11010.158756966028,6645.214768280067,1.4622680867782374e-06,-0.000530024635699,1262.557326078415
lhs_2_2f8b0e,success,1,0.0002444032608517,0.0002084113474982,50,2.184157340456279e-06,2.5907922606845184e-06,2.664727113395752e-06,4.495011078711156e-06,4.608171812411732e-05,0.0004124508653941,0.0003959459997732,2.501024120220014e-05,8080268805.814001,7.49037421099e-14,12583574037.78,2.1356433647898757e-09,3.043824356090179e-09,0.5876712666476461,5.179467720880055e-09,262.96067619830563,6.112302868689995e-10,183.2712127706016,127.63540503116312,-1.332363556697876e-06,-0.0004079558543154,1158.7072169780731
9ceaeab6,success,1,0.00031,0.0003,130,2e-06,2e-06,1e-06,1e-06,8e-05,0.0007,0.00065,2.5e-05,8432225653.170001,1.8915443549540005e-13,8950356052.673,1.6716413647502235e-09,2.1174444331748766e-10,0.1124275453337572,1.8833858080677113e-09,99.78410859934884,1.8631100018946483e-09,3934.612973310407,1332.694294978068,5e-07,-0.000699,2368.059169769287
831f57f5,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,8e-05,0.0007,0.00065,2.5e-05,8061118324.23,1.9701946141759998e-13,9689617725.914,1.369360664757297e-09,6.091597869554649e-10,0.3078865252204638,1.9785204517127627e-09,100.21107204289996,2.3791100018946622e-09,11919.185363200217,4037.151923727432,5e-07,-0.000699,1750.9458844661713
a9af04e6,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,2e-05,0.0007,0.00065,2.5e-05,8015745337.757,1.4713378322759998e-13,9345669051.836,1.971092773487041e-09,7.08322564008589e-10,0.2643571357140313,2.679415337495631e-09,134.9471815465021,1.569110001894646e-09,3714.0902948720086,1260.9794225169849,5e-07,-0.000699,1848.381910085678
de0938c3,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.00065,2.7e-05,8060490517.091999,1.9749396736460002e-13,9708276668.096,1.3608245644098098e-09,6.13249697910612e-10,0.3106517873293018,1.974074262320422e-09,99.97808778255552,2.3759100019994042e-09,11985.79378065296,4056.547420050714,5e-07,-0.000695,1809.0824537277224
2e7a092e,success,1,0.00031,0.0003,130,3e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.00065,2.7e-05,8028572218.408,1.980511940711e-13,8986851144.649,1.583608053331171e-09,4.005952191678649e-10,0.2018922278377904,1.984203272499037e-09,100.09314797129429,2.2499100019993743e-09,7272.424175860627,2461.324970876875,5e-07,-0.000695,1994.0072667598724
815fd81d,success,1,0.00031,0.0003,108,4e-06,2e-06,1e-06,1e-06,4e-05,0.000696,0.00065,2.7e-05,8040970727.634001,1.6341982570149997e-13,9569397184.995,1.692646856367933e-09,7.046320171585555e-10,0.2939299323661977,2.397278873526488e-09,121.11750268963856,1.8375100019993863e-09,5983.878168525967,2028.153975054016,5e-07,-0.000695,1883.327976703644
e8586eea,success,1,0.00031,0.0003,75,4e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.00045,2.7e-05,8022452820.24,1.6216606432349997e-13,11697399468.24,1.1415676252616324e-09,1.2854109533713101e-09,0.5296342393328212,2.4269785786329423e-09,122.335635730609,1.819909999999977e-09,14160.771187282013,4877.345776997785,5e-07,-0.000695,1391.3587684631348
4224f463,success,1,0.00031,0.0003,50,4e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.0003,2.7e-05,8089067127.059,1.349429780833e-13,14620899940.09,8.780955229721997e-10,1.990657060491921e-09,0.6939103330019949,2.868752583464121e-09,145.8046590809714,1.399910000000015e-09,12738.091941849423,4330.442180184763,5e-07,-0.000695,1178.4723155498505
74380cfd,success,1,0.00031,0.0003,70,4e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.00042,2.7e-05,8084892078.073001,1.5678857409369996e-13,12179885961.33,1.0890289093258352e-09,1.3825666070180295e-09,0.5593822281500197,2.471595516343865e-09,125.5542719697459,1.7359100000000102e-09,14497.717304569243,4988.102522532245,5e-07,-0.000695,1332.7376317977903
cc829e70,success,1,0.00031,0.0003,65,4e-06,2e-06,1e-06,1e-06,8e-05,0.000696,0.00039,2.7e-05,8098642945.414,1.5176418771899998e-13,12721118831.789999,1.0313838874672337e-09,1.5133739303168561e-09,0.5947025370118181,2.54475781778409e-09,129.4906997446171,1.6519100000000132e-09,14478.534636589424,4972.0535436122,5e-07,-0.000695,1277.785682439804
